GCF_000511955.1|WP_035143258.1 [Schnuerera ultunensis]
GCF_023703365.1|WP_191180634.1 [Chryseobacterium muglaense]
GCF_024807225.1|WP_259132804.1 [Chryseobacterium ginsenosidimutans]
GCF_025628965.1|WP_262991018.1 [Chryseobacterium gilvum]
GCF_026460885.1|WP_267264477.1 [Chryseobacterium formosus]
GCF_026460885.1|WP_267265683.1 [Chryseobacterium formosus]
GCF_026460885.1|WP_267266511.1 [Chryseobacterium formosus]
GCF_026460885.1|WP_267266735.1 [Chryseobacterium formosus]
GCF_027920505.1|WP_108408776.1 protein [Chryseobacterium]
GCF_027920505.1|WP_271161930.1 [Chryseobacterium gambrini]
GCF_028570795.1|WP_273636541.1 [Chryseobacterium rhizosphaerae]
GCF_900099685.1|WP_089853783.1 [Chryseobacterium taeanense]
GCF_900100075.1|WP_089737367.1 [Chryseobacterium jejuense]
GCF_900100115.1|WP_317040695.1 [Chryseobacterium soldanellicola]
GCF_900109935.1|WP_089997858.1 [Chryseobacterium taichungense]
GCF_900109935.1|WP_090001913.1 [Chryseobacterium taichungense]
GCF_900111495.1|WP_089795763.1 [Chryseobacterium wanjuense]
GCF_900129385.1|WP_072885328.1 [Chryseobacterium takakiae]
GCF_900129385.1|WP_072885388.1 [Chryseobacterium takakiae]
GCF_900129725.1|WP_073139907.1 [Chryseolinea serpens]
GCF_900129755.1|WP_073060795.1 [Chryseobacterium oranimense]
GCF_900142445.1|WP_073297472.1 [Chryseobacterium polytrichastri]
GCF_900142615.1|WP_066700516.1 [Chryseobacterium contaminans]
GCF_900143185.1|WP_074229292.1 [Chryseobacterium scophthalmum]
GCF_900143185.1|WP_074229502.1 protein [Chryseobacterium]
GCF_900143185.1|WP_074229795.1 [Chryseobacterium scophthalmum]
GCF_900156575.1|WP_076507973.1 [Chryseobacterium shigense]
GCF_900182655.1|WP_142718710.1 [Chryseobacterium rhizoplanae]
GCF_900182825.1|WP_283422488.1 protein [Chryseobacterium]
GCF_900182825.1|WP_283422791.1 [Chryseobacterium profundimaris]
GCF_900683625.1|WP_130913236.1 protein [Chryseobacterium]
GCF_903166575.1|WP_175621693.1 [Chryseobacterium schmidteae]
GCF_000012325.1|WP_011043888.1 [Colwellia psychrerythraea]
GCF_000155555.1|WP_044207645.1 [Coleofasciculus chthonoplastes]
GCF_000155555.1|WP_269546327.1 [Coleofasciculus chthonoplastes]
GCF_001244495.1|WP_050622938.1 protein [Eubacteriales]
GCF_001584205.1|WP_061534517.1 [Collimonas arenae]
GCF_001584225.1|WP_231879981.1 [Collimonas pratensis]
GCF_002843355.2|WP_101342710.1 [Colwellia echini]
GCF_007954275.1|WP_146789811.1 [Colwellia demingiae]
GCF_007954355.1|WP_146799074.1 [Colwellia hornerae]
GCF_009800965.1|WP_159692474.1 [Cognatazoarcus halotolerans]
GCF_018304965.1|WP_246542321.1 [Collimonas antrihumi]
GCF_018305005.1|WP_230414294.1 [Collimonas silvisoli]
GCF_022538055.1|WP_241126122.1 [Cognataquiflexum nitidum]
GCF_022538115.1|WP_241142827.1 [Cognataquiflexum rubidum]
GCF_900129015.1|WP_073042361.1 [Cnuella takakiae]
GCF_900129015.1|WP_073044072.1 [Cnuella takakiae]
GCF_002806995.1|WP_100611574.1 [Confluentibacter lentus]
GCF_002807055.1|WP_239970652.1 [Confluentibacter citreus]
GCF_002843175.1|WP_106658147.1 [Confluentibacter flavum]
GCF_002843175.1|WP_106659855.1 [Confluentibacter flavum]
GCF_003258355.1|WP_111309488.1 [Confluentibacter sediminis]
GCF_018122625.2|WP_211927447.1 [Coralloluteibacterium stylophorae]
GCF_027257905.1|WP_269523679.1 [Coraliomargarita parva]
GCF_900167365.1|WP_078707682.1 [Consotaella salsifontis]
GCF_000007765.2|NP_820693.1 burnetii RSA
GCF_000169335.1|WP_008275767.1 [Crocosphaera chwakensis]
GCF_000196315.1|WP_013186811.1 [Croceibacter atlanticus]
GCF_000196315.1|WP_013186815.1 [Croceibacter atlanticus]
GCF_000196315.1|WP_013186819.1 [Croceibacter atlanticus]
GCF_000196315.1|WP_013187545.1 [Croceibacter atlanticus]
GCF_000196315.1|WP_041240924.1 [Croceibacter atlanticus]
GCF_000429865.1|WP_029040846.1 [Cucumibacter marinus]
GCF_000429865.1|WP_029042264.1 [Cucumibacter marinus]
GCF_000429865.1|WP_029042364.1 [Cucumibacter marinus]
GCF_000429865.1|WP_342667635.1 [Cucumibacter marinus]
GCF_000429865.1|WP_342667644.1 [Cucumibacter marinus]
GCF_000621625.1|WP_027420951.1 [Crocinitomix catalasitica]
GCF_000764165.1|WP_035834681.1 [Cryobacterium roopkundense]
GCF_000802385.1|WP_039094171.1 [Croceibacterium mercuriale]
GCF_001008165.2|WP_046904294.1 [Croceibacterium atlanticum]
GCF_001008165.2|WP_082347689.1 [Croceibacterium atlanticum]
GCF_001306415.1|WP_054560015.1 [Croceitalea dokdonensis]
GCF_003602235.1|WP_119973125.1 [Cryobacterium melibiosiphilum]
GCF_003660445.1|WP_121115970.1 [Croceibacterium ferulae]
GCF_003660445.1|WP_241557143.1 [Croceibacterium ferulae]
GCF_004403305.1|WP_134521074.1 [Cryobacterium frigoriphilum]
GCF_004403515.1|WP_134522160.1 [Cryobacterium fucosi]
GCF_009602465.1|WP_153506057.1 [Cumulibacter manganitolerans]
GCF_009602465.1|WP_228389463.1 [Cumulibacter manganitolerans]
GCF_009827435.1|WP_159793137.1 [Croceibacterium salegens]
GCF_009827435.1|WP_328598101.1 [Croceibacterium salegens]
GCF_009828065.1|WP_160745441.1 [Croceibacterium soli]
GCF_010686655.1|WP_163285939.1 [Cryomorpha ignava]
GCF_012272815.1|WP_246865699.1 [Croceivirga thetidis]
GCF_012272815.1|WP_345890682.1 [Croceivirga thetidis]
GCF_014235875.1|WP_185783337.1 [Croceivirga lutea]
GCF_900109035.1|WP_092365891.1 [Cribrihabitans marinus]
GCF_914271435.1|WP_224077783.1 [Cupriavidus laharis]
GCF_000373485.1|WP_019528447.1 [Dasania marina]
GCF_000422945.1|WP_245580852.1 [Daejeonella oryzae]
GCF_000620145.1|WP_211251243.1 [Deefgea rivuli]
GCF_001466665.1|WP_058439247.1 [Dehalogenimonas alkenigignens]
GCF_001551835.1|WP_066885955.1 [Dechloromonas denitrificans]
GCF_001953175.1|WP_076003804.1 [Dehalogenimonas formicexedens]
GCF_002897375.1|WP_201262781.1 [Deinococcus aerius]
GCF_003353065.1|WP_240644814.1 [Cyclonatronum proteinivorum]
GCF_008362905.1|WP_342788482.1 [Deferribacter autotrophicus]
GCF_010119245.1|WP_162343353.1 [Cyclobacterium salsum]
GCF_011290685.1|WP_166144391.1 [Cyclobacterium plantarum]
GCF_014672715.2|WP_343215965.1 [Dehalogenimonas etheniformans]
GCF_026891035.1|WP_258331077.1 protein [Dasania]
GCF_900103545.1|WP_090697411.1 [Daejeonella rubra]
GCF_900103545.1|WP_090706924.1 [Daejeonella rubra]
GCF_900103545.1|WP_245704484.1 [Daejeonella rubra]
GCF_900109185.1|WP_218142892.1 [Deinococcus reticulitermitis]
GCF_000018405.1|WP_012175075.1 [Desulfosudis oleivorans]
GCF_000018405.1|WP_012176411.1 [Desulfosudis oleivorans]
GCF_000266945.1|WP_014810766.1 [Desulfomonile tiedjei]
GCF_000429965.1|WP_028586096.1 [Desulfogranum mediterraneum]
GCF_000934745.1|WP_153306739.1 [Desulfonatronum thioautotrophicum]
GCF_000934755.1|WP_198146040.1 [Desulfonatronovibrio magnus]
GCF_001311845.1|WP_054692969.1 [Desulfosarcina cetonica]
GCF_003046315.1|WP_342748265.1 [Desmospora activa]
GCF_009688965.1|WP_155305233.1 [Desulfosarcina widdelii]
GCF_009688965.1|WP_269433857.1 [Desulfosarcina widdelii]
GCF_013761005.1|WP_181552218.1 [Desulfosalsimonas propionicica]
GCF_014201505.1|WP_183350502.1 [Desulfoprunum benzoelyticum]
GCF_014873765.1|WP_192622718.1 [Desulfomicrobium macestii]
GCF_016446285.1|WP_199263521.1 [Desulfobulbus oligotrophicus]
GCF_016446285.1|WP_199263522.1 [Desulfobulbus oligotrophicus]
GCF_016446285.1|WP_332908659.1 [Desulfobulbus oligotrophicus]
GCF_016918545.1|WP_205244441.1 partial [Desulfobulbus
GCF_018704065.1|WP_289510068.1 [Desulfovulcanus ferrireducens]
GCF_018704065.1|WP_289510135.1 [Desulfovulcanus ferrireducens]
GCF_900104215.1|WP_092122498.1 [Desulfonatronum thiosulfatophilum]
GCF_900129305.1|WP_073041385.1 [Desulfacinum infernum]
GCF_900176285.1|WP_084059043.1 [Desulfacinum hydrothermale]
GCF_900188395.1|WP_089322177.1 [Desulfurobacterium atlanticum]
GCF_902813185.1|WP_145770219.1 [Denitratisoma oestradiolicum]
GCF_000242435.1|WP_008860560.1 [Dialister succinatiphilus]
GCF_000334915.1|WP_017463905.1 [Dyella ginsengisoli]
GCF_000743575.1|WP_035084515.1 [Devosia riboflavina]
GCF_000743575.1|WP_035086868.1 [Devosia riboflavina]
GCF_000743575.1|WP_051960293.1 [Devosia riboflavina]
GCF_000949475.1|WP_045029934.1 [Draconibacterium sediminis]
GCF_000969415.1|WP_046109077.1 [Devosia geojensis]
GCF_000969415.1|WP_244466999.1 [Devosia geojensis]
GCF_000970455.1|WP_046142875.1 [Devosia soli]
GCF_000970465.2|WP_069909867.1 [Devosia insulae]
GCF_000970465.2|WP_069910932.1 [Devosia insulae]
GCF_000970465.2|WP_069911447.1 [Devosia insulae]
GCF_000971295.1|WP_046139937.1 [Devosia epidermidihirudinis]
GCF_001650025.1|WP_067455670.1 [Devosia elaeis]
GCF_001650025.1|WP_067457579.1 [Devosia elaeis]
GCF_001653755.1|WP_035327871.1 [Dokdonia donghaensis]
GCF_001653755.1|WP_052111835.1 [Dokdonia donghaensis]
GCF_001653755.1|WP_236626641.1 [Dokdonia donghaensis]
GCF_001758785.1|WP_070248393.1 [Duganella phyllosphaerae]
GCF_003056345.1|WP_108395658.1 [Devosia submarina]
GCF_003056345.1|WP_108396237.1 [Devosia submarina]
GCF_003056345.1|WP_108397979.1 [Devosia submarina]
GCF_003056355.1|WP_108459455.1 [Devosia naphthalenivorans]
GCF_003056355.1|WP_108459497.1 [Devosia naphthalenivorans]
GCF_003056355.1|WP_108461161.1 [Devosia naphthalenivorans]
GCF_003550175.1|WP_119062368.1 [Dichotomicrobium thermohalophilum]
GCF_003574735.1|WP_119302397.1 [Dongia deserti]
GCF_003574735.1|WP_119302460.1 [Dongia deserti]
GCF_003574735.1|WP_284735810.1 [Dongia deserti]
GCF_003688895.1|WP_121917294.1 [Dokdonia sinensis]
GCF_003688895.1|WP_121918646.1 [Dokdonia sinensis]
GCF_003688895.1|WP_201739436.1 [Dokdonia sinensis]
GCF_003688895.1|WP_236641985.1 [Dokdonia sinensis]
GCF_003977615.1|WP_126673082.1 [Dyella dinghuensis]
GCF_003977615.1|WP_126673775.1 [Dyella dinghuensis]
GCF_004342425.1|WP_132000212.1 [Dokdonella fugitiva]
GCF_004363235.1|WP_243735586.1 [Dongia mobilis]
GCF_007859655.1|WP_146291282.1 [Devosia ginsengisoli]
GCF_007859655.1|WP_146293291.1 [Devosia ginsengisoli]
GCF_009857445.1|WP_161006310.1 [Duganella flavida]
GCF_009857535.1|WP_161043089.1 [Duganella margarita]
GCF_009857605.1|WP_161055126.1 [Duganella levis]
GCF_010448835.1|WP_163345761.1 [Draconibacterium halophilum]
GCF_011058215.1|WP_328765849.1 [Devosia aurantiaca]
GCF_014652635.1|WP_189424004.1 [Devosia pacifica]
GCF_014863405.1|WP_192554262.1 [Dyella acidiphila]
GCF_016411825.1|WP_198874709.1 [Devosia sediminis]
GCF_016411825.1|WP_198875550.1 [Devosia sediminis]
GCF_016411825.1|WP_198877804.1 [Devosia sediminis]
GCF_016698645.1|WP_201661849.1 [Devosia oryziradicis]
GCF_016698645.1|WP_233280920.1 [Devosia oryziradicis]
GCF_016698665.1|WP_267911593.1 [Devosia rhizoryzae]
GCF_016865235.1|WP_188800567.1 [Dyella caseinilytica]
GCF_016865235.1|WP_308420750.1 [Dyella caseinilytica]
GCF_016905005.1|WP_204634183.1 [Dyella kyungheensis]
GCF_018334155.1|WP_212659335.1 [Devosia litorisediminis]
GCF_022026155.1|WP_237888469.1 [Dissulfurimicrobium hydrothermale]
GCF_024158035.1|WP_253564780.1 [Dyella lutea]
GCF_024158035.1|WP_343214920.1 [Dyella lutea]
GCF_024273205.1|WP_254674022.1 [Devosia ureilytica]
GCF_024273205.1|WP_254674464.1 [Devosia ureilytica]
GCF_024273205.1|WP_254675376.1 [Devosia ureilytica]
GCF_024584745.1|WP_257121531.1 [Dolichospermum heterosporum]
GCF_025452235.1|WP_262170360.1 [Devosia neptuniae]
GCF_025452235.1|WP_262171002.1 [Devosia neptuniae]
GCF_026283925.1|WP_266151579.1 [Dyella halodurans]
GCF_030159855.1|WP_284389432.1 [Devosia yakushimensis]
GCF_030159855.1|WP_284392848.1 [Devosia yakushimensis]
GCF_030159855.1|WP_284393443.1 [Devosia yakushimensis]
GCF_030159855.1|WP_284394455.1 [Devosia yakushimensis]
GCF_030160075.1|WP_284400151.1 [Dyella lipolytica]
GCF_030160095.1|WP_343214687.1 [Dyella flava]
GCF_030160115.1|WP_284342676.1 [Devosia nitrariae]
GCF_030160275.1|WP_284333038.1 [Dyella flagellata]
GCF_030160295.1|WP_284321707.1 [Dyella acidisoli]
GCF_030160295.1|WP_284322507.1 [Dyella acidisoli]
GCF_900111425.1|WP_038559660.1 [Draconibacterium orientale]
GCF_900111425.1|WP_038561092.1 [Draconibacterium orientale]
GCF_900112505.1|WP_046172980.1 [Devosia psychrophila]
GCF_900112865.1|WP_026636257.1 protein [Dyella]
GCF_900115085.1|WP_092405849.1 [Dokdonella immobilis]
GCF_900128975.1|WP_046133685.1 [Devosia limi]
GCF_900128975.1|WP_046133907.1 [Devosia limi]
GCF_900128975.1|WP_342021276.1 [Devosia limi]
GCF_900188275.1|WP_089369507.1 [Dokdonia pacifica]
GCF_900631955.1|WP_126151655.1 [Devosia equisanguinis]
GCF_000325705.1|WP_015264899.1 [Echinicola vietnamensis]
GCF_000325705.1|WP_015266534.1 [Echinicola vietnamensis]
GCF_000325705.1|WP_015268110.1 [Echinicola vietnamensis]
GCF_001027545.1|WP_052571570.1 [Endomicrobium proavitum]
GCF_001646955.1|WP_067516804.1 [Endozoicomonas ascidiicola]
GCF_003260975.1|WP_112784126.1 [Echinicola strongylocentroti]
GCF_003260975.1|WP_112785624.1 [Echinicola strongylocentroti]
GCF_003351225.1|WP_114823529.1 [Dyella solisilvae]
GCF_003363155.1|WP_115497499.1 [Dyella monticola]
GCF_003363265.1|WP_325048460.1 [Dyella psychrodurans]
GCF_003363265.1|WP_325048473.1 [Dyella psychrodurans]
GCF_004217555.1|WP_130421771.1 [Edaphobacter modestus]
GCF_004217555.1|WP_130421926.1 [Edaphobacter modestus]
GCF_004322705.1|WP_131150509.1 protein [Dyella]
GCF_004336905.1|WP_131150509.1 protein [Dyella]
GCF_004336905.1|WP_131413220.1 [Dyella soli]
GCF_004785645.1|WP_135834404.1 [Empedobacter tilapiae]
GCF_004785645.1|WP_135836777.1 [Empedobacter tilapiae]
GCF_005281475.1|WP_137402374.1 [Echinicola rosea]
GCF_014280965.1|WP_186755704.1 [Echinicola salinicaeni]
GCF_014297575.1|WP_187058501.1 [Dyella telluris]
GCF_014640335.1|WP_188552601.1 [Edaphobacter dinghuensis]
GCF_014642835.1|WP_188793862.1 [Dyella nitratireducens]
GCF_014642835.1|WP_188794807.1 [Dyella nitratireducens]
GCF_014642835.1|WP_188795295.1 [Dyella nitratireducens]
GCF_014642835.1|WP_308422107.1 [Dyella nitratireducens]
GCF_017488845.2|WP_025425819.1 protein [Ensifer]
GCF_022229225.1|WP_238622789.1 [Ectothiorhodospira lacustris]
GCF_025264645.1|WP_260738092.1 [Edaphobacter lichenicola]
GCF_025264665.1|WP_260703078.1 [Edaphobacter flagellatus]
GCF_025685645.1|WP_263366126.1 [Edaphobacter bradus]
GCF_025685645.1|WP_263368773.1 [Edaphobacter bradus]
GCF_026283965.1|WP_266168063.1 [Dyella subtropica]
GCF_026421305.1|WP_267226647.1 [Dyella silvae]
GCF_030160315.1|WP_204629644.1 [Dyella mobilis]
GCF_030409905.1|WP_290246281.1 [Echinicola jeungdonensis]
GCF_030409905.1|WP_290246546.1 [Echinicola jeungdonensis]
GCF_900167455.1|WP_085934801.1 [Enhydrobacter aerosaccus]
GCF_900188325.1|WP_089355447.1 [Ekhidna lutea]
GCF_900188325.1|WP_089356207.1 [Ekhidna lutea]
GCF_900188325.1|WP_221406682.1 [Ekhidna lutea]
GCF_000412185.1|WP_022696989.1 [Euryhalocaulis caribicus]
GCF_000412185.1|WP_022698337.1 [Euryhalocaulis caribicus]
GCF_000412185.1|WP_027068248.1 [Euryhalocaulis caribicus]
GCF_000715015.1|WP_034958578.1 [Erythrobacter longus]
GCF_000715015.1|WP_034962052.1 [Erythrobacter longus]
GCF_001663175.1|WP_068351784.1 [Erythrobacter neustonensis]
GCF_001663175.1|WP_231889721.1 [Erythrobacter neustonensis]
GCF_002155305.1|WP_068865682.1 [Erythrobacter dokdonensis]
GCF_002155425.1|WP_086607250.1 [Erythrobacter donghaensis]
GCF_002155425.1|WP_086607334.1 [Erythrobacter donghaensis]
GCF_002155425.1|WP_086607930.1 [Erythrobacter donghaensis]
GCF_002155425.1|WP_086608715.1 [Erythrobacter donghaensis]
GCF_002155425.1|WP_086609071.1 [Erythrobacter donghaensis]
GCF_002155425.1|WP_281251633.1 [Erythrobacter donghaensis]
GCF_002155425.1|WP_281251688.1 [Erythrobacter donghaensis]
GCF_002155685.1|WP_086736141.1 [Erythrobacter colymbi]
GCF_002155685.1|WP_086736182.1 [Erythrobacter colymbi]
GCF_002155685.1|WP_086738074.1 [Erythrobacter colymbi]
GCF_002155685.1|WP_086739503.1 [Erythrobacter colymbi]
GCF_002155685.1|WP_086739513.1 [Erythrobacter colymbi]
GCF_003339525.1|WP_114562278.1 [Ephemeroptericola cinctiostellae]
GCF_003355455.1|WP_115415705.1 [Erythrobacter aureus]
GCF_003355455.1|WP_115415996.1 [Erythrobacter aureus]
GCF_003355455.1|WP_115417081.1 [Erythrobacter aureus]
GCF_003355455.1|WP_234041550.1 [Erythrobacter aureus]
GCF_003355455.1|WP_267899706.1 [Erythrobacter aureus]
GCF_003355455.1|WP_369692571.1 [Erythrobacter aureus]
GCF_003730015.1|WP_123282068.1 protein [Epilithonimonas]
GCF_004363955.1|WP_133768185.1 [Enterovirga rhinocerotis]
GCF_004363955.1|WP_133770677.1 [Enterovirga rhinocerotis]
GCF_014195675.1|WP_160759240.1 [Erythrobacter ramosus]
GCF_014195675.1|WP_160760139.1 [Erythrobacter ramosus]
GCF_014195675.1|WP_160761808.1 [Erythrobacter ramosus]
GCF_014195675.1|WP_337190272.1 [Erythrobacter ramosus]
GCF_014705715.1|WP_190787573.1 [Erythrobacter rubeus]
GCF_900102265.1|WP_089873983.1 [Epilithonimonas hungarica]
GCF_900141765.1|WP_074235270.1 [Epilithonimonas zeae]
GCF_900142325.1|WP_072996887.1 [Epilithonimonas mollis]
GCF_900143235.1|WP_072672633.1 [Erythrobacter sanguineus]
GCF_900143235.1|WP_072674540.1 [Erythrobacter sanguineus]
GCF_900143235.1|WP_072675120.1 [Erythrobacter sanguineus]
GCF_900143235.1|WP_281247000.1 [Erythrobacter sanguineus]
GCF_900143235.1|WP_281247004.1 [Erythrobacter sanguineus]
GCF_900182975.1|WP_283415432.1 [Epilithonimonas pallida]
GCF_000146505.1|WP_233138400.1 protein [Fibrobacter]
GCF_000331105.1|WP_041257545.1 [Fibrella aestuarina]
GCF_000419685.1|WP_026718645.1 [Flavobacterium antarcticum]
GCF_000425405.1|WP_028113296.1 [Ferrimonas kyonanensis]
GCF_000757385.1|WP_035123655.1 [Flavobacterium aquatile]
GCF_000757385.1|WP_035125461.1 [Flavobacterium aquatile]
GCF_000757385.1|WP_081932068.1 [Flavobacterium aquatile]
GCF_000769915.1|WP_035135859.1 [Flavobacterium beibuense]
GCF_000974685.2|WP_062626653.1 [Ferriphaselus amnicola]
GCF_000974685.2|WP_062627590.1 [Ferriphaselus amnicola]
GCF_001278115.1|WP_054408133.1 [Flavobacterium akiainvivens]
GCF_001278115.1|WP_054408781.1 [Flavobacterium akiainvivens]
GCF_001644645.1|WP_066405623.1 [Flavisolibacter tropicus]
GCF_001644645.1|WP_066406106.1 [Flavisolibacter tropicus]
GCF_002217195.1|WP_072956759.1 [Flavobacterium aquidurense]
GCF_002886045.1|WP_102758182.1 [Flavivirga eckloniae]
GCF_003096035.1|WP_108777242.1 [Flavobacterium album]
GCF_003096035.1|WP_108779508.1 [Flavobacterium album]
GCF_003096035.1|WP_342748320.1 [Flavobacterium album]
GCF_003148525.1|WP_089479152.1 [Flavobacterium araucananum]
GCF_003148525.1|WP_089481052.1 [Flavobacterium araucananum]
GCF_003268855.1|WP_112112315.1 [Flavobacterium aciduliphilum]
GCF_003385115.1|WP_115813504.1 [Flavobacterium aquicola]
GCF_003970355.1|WP_126463101.1 protein [Flavobacterium]
GCF_004337505.1|WP_131448582.1 [Flaviaesturariibacter flavus]
GCF_004337505.1|WP_131449786.1 [Flaviaesturariibacter flavus]
GCF_004337505.1|WP_131450256.1 [Flaviaesturariibacter flavus]
GCF_004343705.1|WP_131851406.1 [Flaviaesturariibacter aridisoli]
GCF_004791695.1|WP_135874912.1 [Flavivirga rizhaonensis]
GCF_004791695.1|WP_135877671.1 [Flavivirga rizhaonensis]
GCF_004791695.1|WP_135878315.1 [Flavivirga rizhaonensis]
GCF_004791695.1|WP_135878713.1 [Flavivirga rizhaonensis]
GCF_004791695.1|WP_135878742.1 [Flavivirga rizhaonensis]
GCF_005116665.1|WP_229359890.1 [Ferrimonas aestuarii]
GCF_005116715.1|WP_136854643.1 [Ferrimonas sediminicola]
GCF_006381105.1|WP_139959267.1 [Flavicella sediminum]
GCF_007197755.1|WP_144067406.1 [Ferrovibrio terrae]
GCF_008000935.1|WP_147583618.1 [Flavobacterium alkalisoli]
GCF_008000935.1|WP_147584592.1 [Flavobacterium alkalisoli]
GCF_010692725.1|WP_163401668.1 [Flavihumibacter soli]
GCF_011305415.1|WP_166128458.1 [Flavobacterium bernardetii]
GCF_012910715.1|WP_169668882.1 [Flavivirga algicola]
GCF_012910715.1|WP_169675936.1 [Flavivirga algicola]
GCF_012910715.1|WP_317169053.1 [Flavivirga algicola]
GCF_014486695.1|WP_187660886.1 [Flavobacterium buctense]
GCF_014836645.1|WP_191755374.1 protein [Fictibacillus]
GCF_016522065.1|WP_200106695.1 [Flavobacterium agrisoli]
GCF_016522065.1|WP_200106858.1 [Flavobacterium agrisoli]
GCF_016918765.2|WP_228346831.1 [Flagellatimonas centrodinii]
GCF_018383905.1|WP_213259397.1 [Flavobacterium branchiicola]
GCF_018383905.1|WP_213260101.1 [Flavobacterium branchiicola]
GCF_020885975.1|WP_229328831.1 [Flavobacterium ammonificans]
GCF_020885975.1|WP_229329276.1 [Flavobacterium ammonificans]
GCF_020885975.1|WP_229330049.1 [Flavobacterium ammonificans]
GCF_023195775.1|WP_248432873.1 [Flavobacterium azooxidireducens]
GCF_023195775.1|WP_248434221.1 [Flavobacterium azooxidireducens]
GCF_023347705.1|WP_346428868.1 [Fenollaria massiliensis]
GCF_023634845.1|WP_250600456.1 [Flavobacterium amniphilum]
GCF_026870175.2|WP_268846834.1 [Flavobacterium aestivum]
GCF_030540765.1|WP_303300701.1 [Flavivirga jejuensis]
GCF_030540835.1|WP_303276337.1 [Flavivirga aquimarina]
GCF_030540835.1|WP_303276728.1 [Flavivirga aquimarina]
GCF_030540835.1|WP_303277515.1 [Flavivirga aquimarina]
GCF_030540835.1|WP_303278783.1 [Flavivirga aquimarina]
GCF_030540835.1|WP_303279259.1 [Flavivirga aquimarina]
GCF_030540835.1|WP_303279703.1 [Flavivirga aquimarina]
GCF_030540875.1|WP_303281176.1 [Flavivirga amylovorans]
GCF_030540875.1|WP_303281195.1 [Flavivirga amylovorans]
GCF_030540875.1|WP_303283673.1 [Flavivirga amylovorans]
GCF_030540875.1|WP_303284357.1 [Flavivirga amylovorans]
GCF_900104305.1|WP_046480405.1 protein [Filomicrobium]
GCF_900114265.1|WP_072400253.1 [Flaviramulus basaltis]
GCF_900114265.1|WP_072400357.1 [Flaviramulus basaltis]
GCF_900129295.1|WP_072837031.1 [Flavisolibacter ginsengisoli]
GCF_900129295.1|WP_072837228.1 [Flavisolibacter ginsengisoli]
GCF_000016645.1|WP_012024973.1 [Flavobacterium johnsoniae]
GCF_000422685.1|WP_026715645.1 [Flavobacterium gelidilacus]
GCF_000422685.1|WP_026715720.1 [Flavobacterium gelidilacus]
GCF_000422685.1|WP_026717465.1 [Flavobacterium gelidilacus]
GCF_000422685.1|WP_342662433.1 [Flavobacterium gelidilacus]
GCF_000422725.1|WP_026992269.1 [Flavobacterium subsaxonicum]
GCF_000425425.1|WP_026713139.1 [Flavobacterium daejeonense]
GCF_000425425.1|WP_026714574.1 [Flavobacterium daejeonense]
GCF_000425425.1|WP_316930434.1 [Flavobacterium daejeonense]
GCF_000425465.1|WP_026711712.1 [Flavobacterium filum]
GCF_000425485.1|WP_026978068.1 [Flavobacterium tegetincola]
GCF_000425485.1|WP_026979011.1 [Flavobacterium tegetincola]
GCF_000425505.1|WP_026708786.1 [Flavobacterium frigidarium]
GCF_000455605.1|WP_014388673.1 [Flavobacterium indicum]
GCF_000686885.1|WP_084329800.1 [Flavobacterium sasangense]
GCF_000686885.1|WP_245598390.1 [Flavobacterium sasangense]
GCF_000695795.1|WP_035661859.1 [Flavobacterium seoulense]
GCF_000735715.2|WP_031453712.1 [Flavobacterium chungangense]
GCF_000735715.2|WP_031455263.1 [Flavobacterium chungangense]
GCF_001192795.1|WP_062277645.1 [Flexilinea flocculi]
GCF_001534645.1|WP_060382490.1 protein [Flavobacterium]
GCF_001686925.1|WP_065451064.1 [Flavobacterium piscis]
GCF_001686925.1|WP_065451319.1 [Flavobacterium piscis]
GCF_001761465.1|WP_035640983.1 [Flavobacterium gilvum]
GCF_001857965.1|WP_071183768.1 [Flavobacterium commune]
GCF_001857965.1|WP_071185248.1 [Flavobacterium commune]
GCF_002204815.1|WP_088391592.1 [Flavobacterium davisii]
GCF_002204835.1|WP_088445324.1 [Flavobacterium oreochromis]
GCF_002217275.1|WP_074659115.1 [Flavobacterium frigidimaris]
GCF_002217275.1|WP_074661183.1 [Flavobacterium frigidimaris]
GCF_002217355.1|WP_244284392.1 [Flavobacterium oncorhynchi]
GCF_002217395.1|WP_089058479.1 [Flavobacterium plurextorum]
GCF_003003155.1|WP_072939597.1 [Flavobacterium granuli]
GCF_003122385.1|WP_109190559.1 [Flavobacterium crocinum]
GCF_003122385.1|WP_109191970.1 [Flavobacterium crocinum]
GCF_003122385.1|WP_109194595.1 [Flavobacterium crocinum]
GCF_003122385.1|WP_240622699.1 [Flavobacterium crocinum]
GCF_003148385.1|WP_109568906.1 protein [Flavobacterium]
GCF_003202435.1|WP_110307227.1 protein [Flavobacterium]
GCF_003254545.1|WP_111364016.1 [Flavobacterium tistrianum]
GCF_003254585.1|WP_111422812.1 [Flavobacterium sharifuzzamanii]
GCF_003254585.1|WP_111423850.1 [Flavobacterium sharifuzzamanii]
GCF_003254585.1|WP_111426638.1 [Flavobacterium sharifuzzamanii]
GCF_003254625.1|WP_111284730.1 [Flavobacterium ginsenosidimutans]
GCF_003254625.1|WP_111287680.1 [Flavobacterium ginsenosidimutans]
GCF_003268815.1|WP_112084876.1 [Flavobacterium lacus]
GCF_003293845.1|WP_113989211.1 [Flavobacterium tibetense]
