GENOME,HOMOLOG
GCF_000495255.1_WBD,NO
GCF_000496595.1_ASM49659v1,NO
GCF_000517405.1_ASM51740v1,NO
GCF_000582535.1_ASM58253v1,NO
GCF_000689395.1_Ectocarpus_siliculous_Es32_genome_assembly_V1,YES
GCF_000714715.1_Draft_genome_of_Candidatus_Magnetobacterium_casensis,NO
GCF_000731785.2_ASM73178v2,NO
GCF_000731795.2_ASM73179v2,NO
GCF_000742475.1_ASM74247v1,NO
GCF_000742835.1_ASM74283v1,YES
GCF_000757605.1_ASM75760v1,NO
GCF_000803625.1_ASM80362v1,NO
GCF_000815465.1_UWC36,NO
GCF_000820765.1_Arquibacterium_massiliensis_AP7,NO
GCF_000828515.1_ASM82851v1,NO
GCF_000828815.1_ASM82881v1,NO
GCF_000953015.1_Candidatus_Methylopumilus_turicensis_MMS-10A-171,NO
GCF_000964795.1_ASM96479v1,NO
GCF_000971765.1_ASM97176v1,NO
GCF_001021085.1_ASM102108v1,NO
GCF_001078595.1_ASM107859v1,NO
GCF_001189415.1_ASM118941v1,NO
GCF_001281385.1_ASM128138v1,NO
GCF_001431085.1_ASM143108v1,NO
GCF_001447915.1_ASM144791v1,NO
GCF_001458555.1_JGI_assembly,NO
GCF_001458695.1_NiCh1,YES
GCF_001458735.1__COMA1_,NO
GCF_001458775.1__COMA2_,NO
GCF_001460935.1_Ark11,NO
GCF_001499655.1_PNK1,NO
GCF_001535985.1_JGI_assembly,NO
GCF_001545115.1_Protochlamydia_greubae,NO
GCF_001577525.1_ASM157752v1,NO
GCF_001645765.1_ASM164576v1,NO
GCF_001708955.1_ASM170895v1,NO
GCF_001715975.1_ASM171597v1,NO
GCF_001756855.1_ASM175685v1,NO
GCF_001854225.1_ASM185422v1,NO
GCF_001881495.1_ASM188149v1,NO
GCF_002018015.1_ASM201801v1,NO
GCF_002073895.1_ASM207389v1,NO
GCF_002117145.1_ASM211714v1,YES
GCF_002216815.1_ASM221681v1,NO
GCF_002287885.2_ASM228788v2,NO
GCF_002287965.1_ASM228796v1,NO
GCF_002288005.1_ASM228800v1,NO
GCF_002288065.1_ASM228806v1,NO
GCF_002288145.1_ASM228814v1,NO
GCF_002288185.1_ASM228818v1,NO
GCF_002288305.1_ASM228830v1,NO
GCF_002288325.1_ASM228832v1,NO
GCF_002288365.1_ASM228836v1,NO
GCF_002355955.1_ASM235595v1,NO
GCF_002356115.1_ASM235611v1,NO
GCF_002381345.1_ASM238134v1,NO
GCF_002443295.1_ASM244329v1,NO
GCF_002464935.1_ASM246493v1,NO
GCF_002688585.1_ASM268858v1,NO
GCF_002774925.1_ASM277492v1,NO
GCF_002776555.1_ASM277655v1,NO
GCF_002777255.1_ASM277725v1,NO
GCF_002933345.1_ASM293334v1,NO
GCF_003004665.1_ASM300466v1,NO
GCF_003015145.1_ASM301514v1,NO
GCF_003044035.1_ASM304403v1,YES
GCF_003056015.1_ASM305601v1,NO
GCF_003072465.1_ASM307246v1,NO
GCF_003072485.1_ASM307248v1,NO
GCF_003112735.1_ASM311273v1,YES
GCF_003122425.1_ASM312242v1,NO
GCF_003263355.1_ASM326335v1,NO
GCF_003333265.1_ASM333326v1,NO
GCF_003339615.1_ASM333961v1,NO
GCF_003391335.1_ASM339133v1,NO
GCF_003640545.1_ASM364054v1,NO
GCF_003664375.1_ASM366437v1,YES
GCF_003698095.1_ASM369809v1,NO
GCF_003966755.1_ASM396675v1,YES
GCF_003994235.2_ASM399423v2,NO
GCF_004116335.1_ASM411633v1,NO
GCF_004124255.1_ASM412425v1,NO
GCF_004138135.1_ASM413813v1,NO
GCF_004138395.1_ASM413839v1,NO
GCF_004138445.1_ASM413844v1,NO
GCF_004151455.1_ASM415145v1,NO
GCF_004210305.1_ASM421030v1,YES
GCF_004217665.1_ASM421766v1,NO
GCF_004353895.1_ASM435389v1,NO
GCF_004684205.1_ASM468420v1,NO
GCF_004803575.1_ASM480357v1,NO
GCF_005697565.1_ASM569756v1,NO
GCF_006363895.1_ASM636389v1,NO
GCF_006364455.1_ASM636445v1,NO
GCF_006364615.1_ASM636461v1,NO
GCF_007821455.1_pine-spades,NO
GCF_007993655.1_ASM799365v1,NO
GCF_008189525.1_ASM818952v1,NO
GCF_008189685.1_ASM818968v1,NO
GCF_008830185.1_ASM883018v1,NO
GCF_009268105.1_ASM926810v1,NO
GCF_009498235.1_ASM949823v1,NO
GCF_009734445.1_ASM973444v1,NO
GCF_010367455.1_ASM1036745v1,NO
GCF_011066545.1_ASM1106654v1,YES
GCF_012184425.1_ASM1218442v1,YES
GCF_012276695.1_ASM1227669v1,NO
GCF_013282035.1_ASM1328203v1,NO
GCF_013342985.1_ASM1334298v1,NO
GCF_013343005.1_ASM1334300v1,NO
GCF_013373955.1_ASM1337395v1,NO
GCF_013391955.1_ASM1339195v1,NO
GCF_013753875.1_ASM1375387v1,NO
GCF_014736495.1_ASM1473649v1,NO
GCF_015265455.1_ASM1526545v1,YES
GCF_015265475.1_ASM1526547v1,NO
GCF_015356785.1_ASM1535678v1,NO
GCF_015356815.2_ASM1535681v2,NO
GCF_016751895.1_ASM1675189v1,YES
GCF_016876135.2_ASM1687613v2,NO
GCF_018024475.1_ASM1802447v1,NO
GCF_018200315.1_ASM1820031v1,NO
GCF_018777385.1_ASM1877738v1,NO
GCF_018777395.1_ASM1877739v1,NO
GCF_018866205.1_ASM1886620v1,NO
GCF_019453995.1_ASM1945399v1,NO
GCF_019923565.1_ASM1992356v1,NO
GCF_020084865.1_ASM2008486v1,YES
GCF_020149915.1_ASM2014991v1,YES
GCF_020541225.1_ASM2054122v1,NO
GCF_020541265.1_ASM2054126v1,NO
GCF_021065005.1_ASM2106500v1,NO
GCF_021654655.1_ASM2165465v1,NO
GCF_022760755.1_ASM2276075v1,NO
GCF_022760805.1_ASM2276080v1,NO
GCF_023515995.1_ASM2351599v1,NO
GCF_023733635.1_ASM2373363v1,NO
GCF_024259865.1_ASM2425986v1,NO
GCF_024425255.1_ASM2442525v1,NO
GCF_024820135.1_ASM2482013v1,NO
GCF_025273655.1_ASM2527365v1,NO
GCF_026230195.1_ASM2623019v1,NO
GCF_026262625.1_ASM2626262v1,NO
GCF_026262645.1_ASM2626264v1,NO
GCF_026262685.1_ASM2626268v1,NO
GCF_026821955.1_ASM2682195v1,NO
GCF_029582805.1_ASM2958280v1,NO
GCF_030158815.1_ASM3015881v1,NO
GCF_030520105.1_ASM3052010v1,NO
GCF_030587225.1_ASM3058722v1,NO
GCF_900039485.1_DEMHIR,NO
GCF_900044015.1_HETPER1,NO
GCF_900048035.1_GEFVIR,NO
GCF_900048045.1_MEPMAR,NO
GCF_900066015.1_Cfx-K,NO
GCF_900070205.1_JGI_assembly,NO
GCF_900078725.1_2013Ark11A,NO
GCF_900089945.1_P_S1_v1,NO
GCF_900093605.1_Terasakiella_magnetica_strain_PR1,NO
GCF_900538225.1_OH-22767,NO
GCF_900698925.1_ErCicurvipes_v1.0,NO
GCF_902712995.1_PRJEB35870,NO
GCF_902806695.1_methb,YES
GCF_902810445.1_RJ19,NO
GCF_902812705.1_KP1,NO
GCF_904848675.1_Pt_Alt_01,NO
GCF_905221025.1_NTGZN8,NO
GCF_905250085.1_MPQ17,NO
GCF_913698045.1_MegCarteria,NO
GCF_918378365.1_Ntg6680,NO
GCF_949774925.1_MFUM-new,NO
GCF_000010405.1_ASM1040v1,NO
GCF_000012865.1_ASM1286v1,NO
GCF_000022005.1_ASM2200v1,YES
GCF_000023285.1_ASM2328v1,NO
GCF_000024025.1_ASM2402v1,NO
GCF_000092865.1_ASM9286v1,NO
GCF_000160035.2_ASM16003v2,NO
GCF_000178835.2_ASM17883v2,NO
GCF_000186265.1_ASM18626v1,YES
GCF_000190595.1_ASM19059v1,NO
GCF_000212695.1_ASM21269v1,NO
GCF_000218545.1_ASM21854v1,NO
GCF_000281085.1_ASM28108v1,NO
GCF_000298295.1_ASM29829v1,YES
GCF_000304455.1_CCh_cEper1,NO
GCF_000313915.1_CMarimammalium1.0,NO
GCF_000379685.1_ASM37968v1,NO
GCF_000412335.2_ASM41233v2,NO
GCF_000427565.1_ASM42756v1,NO
GCF_000468615.2_ASM46861v2,YES
GCF_000493735.1_ASM49373v1,NO
GCF_000526695.1_ASM52669v1,NO
GCF_000612685.1_scf7180000000004,NO
GCF_000709555.1_ASM70955v1,NO
GCF_000717135.1_ASM71713v1,NO
GCF_000744185.1_ASM74418v1,NO
GCF_000744285.1_ASM74428v1,NO
GCF_000744375.1_ASM74437v1,NO
GCF_000744825.1_ASM74482v1,NO
GCF_000745125.1_ASM74512v1,NO
GCF_000767165.1_ASM76716v1,NO
GCF_000819565.1_ASM81956v1,NO
GCF_001050375.1_ASM105037v1,NO
GCF_001242845.1_Wobs_v01,NO
GCF_001293165.1_ASM129316v1,NO
GCF_001308265.1_ASM130826v1,NO
GCF_001311925.1_ASM131192v1,NO
GCF_001414055.1_ASM141405v1,YES
GCF_001517835.1_ASM151783v1,NO
GCF_001543925.1_ASM154392v1,NO
GCF_001592225.1_ASM159222v1,NO
GCF_001679665.1_ASM167966v1,NO
GCF_001700315.1_ASM170031v1,NO
GCF_001700325.1_ASM170032v1,NO
GCF_001703555.1_ASM170355v1,NO
GCF_001950255.1_ASM195025v1,NO
GCF_001950325.1_ASM195032v1,NO
GCF_002209445.1_ASM220944v1,NO
GCF_002209565.1_ASM220956v1,NO
GCF_002302415.1_ASM230241v1,NO
GCF_002302475.1_ASM230247v1,NO
GCF_002302495.1_ASM230249v1,NO
GCF_002302565.1_ASM230256v1,NO
GCF_002302635.1_ASM230263v1,NO
GCF_002393445.1_ASM239344v1,NO
GCF_002407265.1_ASM240726v1,NO
GCF_002532535.1_ASM253253v1,NO
GCF_002749615.1_ASM274961v1,YES
GCF_002795405.1_ASM279540v1,NO
GCF_002813775.1_ASM281377v1,NO
GCF_002858925.1_ASM285892v1,YES
GCF_003014575.1_ASM301457v1,YES
GCF_003015125.1_ASM301512v1,YES
GCF_003050785.1_ASM305078v1,NO
GCF_003054025.1_ASM305402v1,NO
GCF_003094615.1_ASM309461v1,YES
GCF_003116815.1_ASM311681v1,NO
GCF_003254175.1_ASM325417v1,NO
GCF_003333325.1_ASM333332v1,YES
GCF_003351905.1_ASM335190v1,NO
GCF_003470205.1_ASM347020v1,NO
GCF_003574315.2_ASM357431v2,NO
GCF_003585975.1_ASM358597v1,NO
GCF_003696205.1_ASM369620v1,NO
GCF_003722335.1_ASM372233v1,YES
GCF_003851725.1_ASM385172v1,NO
GCF_004102945.1_ASM410294v1,YES
GCF_004123805.1_ASM412380v1,NO
GCF_004216715.1_ASM421671v1,NO
GCF_004300865.1_CAAS_CanCar1.0,NO
GCF_004306155.1_ASM430615v1,NO
GCF_004354815.1_ASM435481v1,NO
GCF_004359955.1_ASM435995v1,YES
GCF_004768785.1_ASM476878v1,NO
GCF_004798685.1_ASM479868v1,NO
GCF_004886325.1_ASM488632v1,NO
GCF_006538705.1_ASM653870v1,NO
GCF_006538745.1_ASM653874v1,NO
GCF_007289895.1_ASM728989v1,NO
GCF_007483665.1_ASM748366v1,NO
GCF_007559345.1_ASM755934v1,NO
GCF_007745175.1_ASM774517v1,NO
GCF_007989225.1_ASM798922v1,NO
GCF_007989805.1_ASM798980v1,NO
GCF_007989825.1_ASM798982v1,NO
GCF_007990245.1_ASM799024v1,NO
GCF_007990265.1_ASM799026v1,NO
GCF_007991755.1_ASM799175v1,NO
GCF_007992535.1_ASM799253v1,NO
GCF_009002475.1_ASM900247v1,NO
GCF_009684755.1_ASM968475v1,NO
GCF_009720365.1_ASM972036v1,NO
GCF_009720385.1_ASM972038v1,NO
GCF_009746125.1_ASM974612v1,YES
GCF_009805595.3_ASM980559v3,NO
GCF_009829685.1_ASM982968v1,NO
GCF_010977555.1_ASM1097755v1,YES
GCF_011045195.1_ASM1104519v1,YES
GCF_011297315.1_ASM1129731v1,NO
GCF_011297335.1_ASM1129733v1,NO
GCF_011752005.1_ASM1175200v1,NO
GCF_011808225.1_ASM1180822v1,NO
GCF_012396155.1_ASM1239615v1,NO
GCF_012931845.1_ASM1293184v1,NO
GCF_013315815.1_ASM1331581v1,NO
GCF_013359775.1_ASM1335977v1,NO
GCF_013664685.1_ASM1366468v1,NO
GCF_014197205.1_ASM1419720v1,NO
GCF_014202115.1_ASM1420211v1,NO
GCF_014202755.1_ASM1420275v1,NO
GCF_014303955.1_ASM1430395v1,NO
GCF_014306455.1_ASM1430645v1,NO
GCF_014467055.1_ASM1446705v1,NO
GCF_014636275.1_ASM1463627v1,NO
GCF_014647015.1_ASM1464701v1,NO
GCF_014771645.1_ASM1477164v1,NO
GCF_014836445.1_ASM1483644v1,NO
GCF_014837295.1_ASM1483729v1,NO
GCF_015356825.1_ASM1535682v1,NO
GCF_015356865.1_ASM1535686v1,NO
GCF_016126035.1_ASM1612603v1,NO
GCF_016135805.1_ASM1613580v1,YES
GCF_016612505.1_ASM1661250v1,NO
GCF_016651435.1_ASM1665143v1,NO
GCF_016756775.1_ASM1675677v1,NO
GCF_016862575.1_ASM1686257v1,NO
GCF_016862615.1_ASM1686261v1,NO
GCF_016862635.1_ASM1686263v1,NO
GCF_016862675.1_ASM1686267v1,NO
GCF_016862695.1_ASM1686269v1,NO
GCF_016862735.1_ASM1686273v1,NO
GCF_016862755.1_ASM1686275v1,NO
GCF_016862775.1_ASM1686277v1,NO
GCF_017565765.1_ASM1756576v1,NO
GCF_017901155.1_ASM1790115v1,NO
GCF_018128265.1_ASM1812826v1,NO
GCF_018156225.1_ASM1815622v1,NO
GCF_018271975.1_ASM1827197v1,NO
GCF_018271995.1_ASM1827199v1,YES
GCF_018274385.1_ASM1827438v1,NO
GCF_018388445.1_ASM1838844v1,NO
GCF_018388465.1_ASM1838846v1,NO
GCF_018420025.1_ASM1842002v1,NO
GCF_018531145.1_ASM1853114v1,NO
GCF_018531375.1_ASM1853137v1,NO
GCF_018623035.1_ASM1862303v1,NO
GCF_019083965.1_ASM1908396v1,NO
GCF_019166065.1_ASM1916606v1,NO
GCF_019448085.1_ASM1944808v1,NO
GCF_020165855.1_ASM2016585v1,NO
GCF_020412445.1_ASM2041244v1,NO
GCF_020524585.1_ASM2052458v1,NO
GCF_020541305.1_ASM2054130v1,NO
GCF_020541325.1_ASM2054132v1,NO
GCF_021172045.1_ASM2117204v1,NO
GCF_021590045.1_ASM2159004v1,NO
GCF_024508275.1_ASM2450827v1,NO
GCF_024508315.1_ASM2450831v1,NO
GCF_024508335.1_ASM2450833v1,NO
GCF_026005375.1_ASM2600537v1,NO
GCF_027214045.1_ASM2721404v1,NO
GCF_027915275.1_ASM2791527v1,NO
GCF_030378065.1_ASM3037806v1,NO
GCF_030506285.1_ASM3050628v1,YES
GCF_900046455.1_Cellulomonas_timonensis,NO
GCF_900080145.1_TREMTM,NO
GCF_900100765.1_IMG-taxon_2675903159_annotated_assembly,NO
GCF_900102315.1_IMG-taxon_2616644820_annotated_assembly,NO
GCF_900102725.1_IMG-taxon_2634166280_annotated_assembly,NO
GCF_900111925.1_IMG-taxon_2675903053_annotated_assembly,NO
GCF_900113955.1_IMG-taxon_2617270870_annotated_assembly,NO
GCF_900119145.1_IMG-taxon_2595699004_annotated_assembly,NO
GCF_900143105.1_IMG-taxon_2698536812_annotated_assembly,NO
GCF_900155925.1_IMG-taxon_2681812868_annotated_assembly,NO
GCF_900167165.1_IMG-taxon_2568526009_annotated_assembly,NO
GCF_900176415.1_IMG-taxon_2595698249_annotated_assembly,NO
GCF_900177385.1_IMG-taxon_2622736627_annotated_assembly,NO
GCF_900187255.1_51184_F02,NO
GCF_900446675.1_51334_C01,NO
GCF_900450725.1_49595_B01,NO
GCF_900460955.1_51726_F01,NO
GCF_900635955.1_36672_A01,NO
GCF_900637305.1_50618_F02,NO
GCF_902374825.1_MGYG-HGUT-01416,NO
GCF_910593725.1_Mv_alt_compl,NO
GCF_914590485.1_CEDIAZO_illumina_assembly,NO
GCF_936981045.1_CaOegib_v1.0,NO
GCF_943193035.1_Atopobiaceae_gen_nov2_DSM110323,NO
GCF_949790605.1_SF2022_genome,NO
GCF_958477315.1_SRR17382081_bin.77_MetaWRAP_v1.3_MAG,NO
GCF_000006685.1_ASM668v1,NO
GCF_000006985.1_ASM698v1,NO
GCF_000007205.1_ASM720v1,NO
GCF_000007605.1_ASM760v1,NO
GCF_000008725.1_ASM872v1,NO
GCF_000009945.1_ASM994v1,NO
GCF_000015125.1_ASM1512v1,YES
GCF_000018865.1_ASM1886v1,NO
GCF_000020465.1_ASM2046v1,NO
GCF_000020505.1_ASM2050v1,YES
GCF_000020525.1_ASM2052v1,YES
GCF_000021005.1_ASM2100v1,NO
GCF_000021945.1_ASM2194v1,YES
GCF_000024005.1_ASM2400v1,NO
GCF_000055785.1_ASM5578v1,NO
GCF_000060345.1_ASM6034v1,YES
GCF_000168715.1_ASM16871v1,NO
GCF_000204255.1_ASM20425v1,NO
GCF_000213975.1_ASM21397v1,NO
GCF_000226295.1_ASM22629v1,NO
GCF_000317125.1_ASM31712v1,NO
GCF_000317145.1_ASM31714v1,NO
GCF_000317285.1_ChlPCC6912_1.0,NO
GCF_000348925.1_CeAn1,YES
GCF_000374805.1_ASM37480v1,NO
GCF_000417735.2_ASM41773v2,NO
GCF_000423045.1_ASM42304v1,NO
GCF_000423065.1_ASM42306v1,YES
GCF_000428145.1_ASM42814v1,YES
GCF_000428465.1_ASM42846v1,NO
GCF_000429785.1_ASM42978v1,NO
GCF_000430805.1_ASM43080v1,YES
GCF_000454725.1_ibidis.assembly,NO
GCF_000471025.2_ASM47102v2,NO
GCF_000474745.1_Acht1_1,NO
GCF_000479045.1_ASM47904v1,NO
GCF_000520015.2_ASM52001v2,NO
GCF_000601485.1_Chondromyces_apiculatus_DSM_436_genome_assembly,NO
GCF_000772535.1_ASM77253v1,NO
GCF_001045465.1_ASM104546v1,YES
GCF_001189295.1_ASM118929v1,NO
GCF_001418005.1_ASM141800v1,YES
GCF_001507325.1_ASM150732v1,YES
GCF_001507385.1_ASM150738v1,NO
GCF_001580015.1_ASM158001v1,NO
GCF_001580045.1_ASM158004v1,NO
GCF_001650695.1_ASM165069v1,YES
GCF_001676875.1_ASM167687v1,NO
GCF_001678845.1_ASM167884v1,NO
GCF_001747405.1_ASM174740v1,YES
GCF_001855275.1_ASM185527v1,NO
GCF_001855565.1_ASM185556v1,NO
GCF_001855575.1_ASM185557v1,NO
GCF_001889005.1_ASM188900v1,YES
GCF_001904655.1_ASM190465v1,NO
GCF_001951155.1_ASM195115v1,NO
GCF_002268635.1_ASM226863v1,NO
GCF_002557795.1_ASM255779v1,NO
GCF_002858675.1_ASM285867v1,NO
GCF_002858715.1_ASM285871v1,NO
GCF_002858825.1_ASM285882v1,NO
GCF_002902845.1_ASM290284v1,NO
GCF_002924365.1_ASM292436v1,NO
GCF_003003845.1_ASM300384v1,NO
GCF_003014595.1_ASM301459v1,NO
GCF_003014755.1_ASM301475v1,NO
GCF_003024155.1_ASM302415v1,NO
GCF_003046325.1_ASM304632v1,NO
GCF_003054225.1_ASM305422v1,YES
GCF_003071345.1_ASM307134v1,NO
GCF_003071385.1_ASM307138v1,NO
GCF_003149455.1_ASM314945v1,NO
GCF_003254335.1_ASM325433v1,NO
GCF_003259335.1_ASM325933v1,NO
GCF_003259435.1_ASM325943v1,NO
GCF_003308995.1_ASM330899v1,NO
GCF_003325475.1_ASM332547v1,NO
GCF_003412465.1_ASM341246v1,NO
GCF_003419895.1_ASM341989v1,NO
GCF_003568665.1_ASM356866v1,NO
GCF_003614855.1_ASM361485v1,YES
GCF_003628755.1_ASM362875v1,NO
GCF_003646465.1_ASM364646v1,NO
GCF_003813775.1_ASM381377v1,NO
GCF_003958645.1_ASM395864v1,NO
GCF_003968655.1_ASM396865v1,NO
GCF_003991895.1_ASM399189v1,NO
GCF_003994345.2_ASM399434v2,NO
GCF_004340525.1_ASM434052v1,NO
GCF_004364315.1_ASM436431v1,NO
GCF_004519295.1_ASM451929v1,NO
GCF_005048205.1_ASM504820v1,NO
GCF_006265165.1_ASM626516v1,NO
GCF_006716485.1_ASM671648v1,YES
GCF_006974145.1_ASM697414v1,YES
GCF_007050985.1_ASM705098v1,YES
GCF_007431345.1_ASM743134v1,NO
GCF_007668225.1_ASM766822v1,NO
GCF_007829335.1_ASM782933v1,NO
GCF_007830125.1_ASM783012v1,NO
GCF_007991195.1_ASM799119v1,NO
GCF_007992695.1_ASM799269v1,NO
GCF_007992715.1_ASM799271v1,NO
GCF_008033135.1_ASM803313v1,NO
GCF_008039555.1_ASM803955v1,NO
GCF_008120875.1_ASM812087v1,NO
GCF_008275125.1_ASM827512v1,NO
GCF_008386695.1_ASM838669v1,NO
GCF_009708005.2_ASM970800v2,NO
GCF_009735585.1_ASM973558v1,YES
GCF_009758125.1_ASM975812v1,NO
GCF_009758205.1_ASM975820v1,NO
GCF_009765275.1_ASM976527v1,NO
GCF_009812055.1_ASM981205v1,YES
GCF_009910845.1_ASM991084v1,NO
GCF_009936155.1_ASM993615v1,NO
GCF_010078385.1_ASM1007838v1,NO
GCF_010093065.1_ASM1009306v1,NO
GCF_010287905.1_ASM1028790v1,NO
GCF_010993735.1_ASM1099373v1,NO
GCF_011317445.1_ASM1131744v1,YES
GCF_011317505.1_ASM1131750v1,YES
GCF_012516355.1_ASM1251635v1,NO
GCF_012927205.1_ASM1292720v1,NO
GCF_012927325.1_ASM1292732v1,NO
GCF_013403565.1_ASM1340356v1,NO
GCF_013423785.1_ASM1342378v1,NO
GCF_014041995.1_ASM1404199v1,NO
GCF_014196925.1_ASM1419692v1,YES
GCF_014202825.1_ASM1420282v1,YES
GCF_014202905.1_ASM1420290v1,NO
GCF_014287795.1_ASM1428779v1,NO
GCF_014529935.1_ASM1452993v1,NO
GCF_014529945.1_ASM1452994v1,NO
GCF_014640075.1_ASM1464007v1,YES
GCF_014652535.1_ASM1465253v1,YES
GCF_015182315.1_ASM1518231v1,NO
GCF_015223195.1_ASM1522319v1,NO
GCF_016583745.1_ASM1658374v1,NO
GCF_016595555.1_ASM1659555v1,NO
GCF_016890085.1_ASM1689008v1,NO
GCF_016937655.1_ASM1693765v1,NO
GCF_017742215.1_ASM1774221v1,NO
GCF_018224885.1_ASM1822488v1,NO
GCF_018304805.1_ASM1830480v1,NO
GCF_018304825.1_ASM1830482v1,NO
GCF_018343815.1_ASM1834381v1,NO
GCF_018398275.1_ASM1839827v1,YES
GCF_018398355.1_ASM1839835v1,NO
GCF_019056495.1_ASM1905649v1,NO
GCF_019355395.1_ASM1935539v1,NO
GCF_019492185.1_ASM1949218v1,NO
GCF_019797865.1_ASM1979786v1,YES
GCF_020459125.1_ASM2045912v1,NO
GCF_020544465.1_ASM2054446v1,NO
GCF_020551945.1_ASM2055194v1,NO
GCF_020552705.1_ASM2055270v1,YES
GCF_020872015.1_ASM2087201v1,NO
GCF_021083375.1_ASM2108337v1,NO
GCF_021129195.1_ASM2112919v1,NO
GCF_021391315.1_ASM2139131v1,NO
GCF_022489035.1_ASM2248903v1,YES
GCF_022699665.1_ASM2269966v1,YES
GCF_022867795.2_ASM2286779v2,YES
GCF_023061135.1_ASM2306113v1,NO
GCF_023061175.1_ASM2306117v1,NO
GCF_023061185.1_ASM2306118v1,NO
GCF_023061285.1_ASM2306128v1,NO
GCF_023091965.1_ASM2309196v1,NO
GCF_023156195.1_ASM2315619v1,NO
GCF_024437655.1_ASM2443765v1,NO
GCF_025398195.1_ASM2539819v1,NO
GCF_025398255.1_ASM2539825v1,NO
GCF_026250525.1_ASM2625052v1,NO
GCF_029478115.1_ASM2947811v1,NO
GCF_030409555.1_ASM3040955v1,NO
GCF_900087015.1_PRJEB13910,NO
GCF_900095735.1_IMG-taxon_2651870115_annotated_assembly,NO
GENOME,HOMOLOG
GCF_900102545.1_IMG-taxon_2634166296_annotated_assembly,NO
GCF_900109685.1_IMG-taxon_2622736599_annotated_assembly,NO
GCF_900110835.1_IMG-taxon_2636416040_annotated_assembly,NO
GCF_900119105.1_IMG-taxon_2595699005_annotated_assembly,NO
GCF_900119825.1_IMG-taxon_2599185263_annotated_assembly,NO
GCF_900129245.1_IMG-taxon_2695420930_annotated_assembly,YES
GCF_900129465.1_IMG-taxon_2636416022_annotated_assembly,NO
GCF_900142565.1_IMG-taxon_2700988695_annotated_assembly,YES
GCF_900142605.1_IMG-taxon_2700988700_annotated_assembly,NO
GCF_900167135.1_IMG-taxon_2634166306_annotated_assembly,NO
GCF_900167275.1_IMG-taxon_2585428148_annotated_assembly,NO
GCF_900168065.1_IMG-taxon_2595698247_annotated_assembly,NO
GCF_900169125.1_SWA-86,NO
GCF_900207575.1_IMG-taxon_2740891861_annotated_assembly,NO
GCF_900221025.1_IMG-taxon_2671180026_annotated_assembly,NO
GCF_900239945.1_Chlamydia_sp._nov._H15-1957-10C,NO
GCF_900239975.1_Chlamydia_sp._S15-834K,NO
GCF_900416725.2_G1_hybrid,NO
GCF_902167625.1_PRJEB33167,NO
GCF_902806995.1_15-2067_O50,NO
GCF_902807005.1_14-2711_R47,NO
GCF_905175375.1_Chryseobacterium_CECT9390,NO
GCF_000018045.1_ASM1804v1,NO
GCF_000020725.1_ASM2072v1,NO
GCF_000063585.1_ASM6358v1,NO
GCF_000145275.1_ASM14527v1,NO
GCF_000176355.1_ASM17635v1,YES
GCF_000218855.1_ASM21885v1,NO
GCF_000282115.1_Chryseobacterium.strCF314_v1.0,NO
GCF_000427095.1_T49,NO
GCF_000430825.1_ASM43082v1,YES
GCF_000430845.1_ASM43084v1,NO
GCF_000469585.1_Chrysiogenes_arsenatis,NO
GCF_000518785.1_ASM51878v1,NO
GCF_000577895.1_M2_40,NO
GCF_000585335.1_ASM58533v1,NO
GCF_000620125.1_ASM62012v1,NO
GCF_000686725.1_ASM68672v1,NO
GCF_000687955.1_ASM68795v1,NO
GCF_000703125.1_ASM70312v1,NO
GCF_000708615.2_Chryseo_hispalense_genome,YES
GCF_000737705.1_ASM73770v1,YES
GCF_000737765.1_ASM73776v1,NO
GCF_000737785.1_ASM73778v1,NO
GCF_000813825.1_ASM81382v1,YES
GCF_000821305.1_Clostridium_culturomicsense,NO
GCF_001038625.1_ASM103862v1,NO
GCF_001042715.1_ASM104271v1,NO
GCF_001045435.1_ASM104543v1,NO
GCF_001047375.1_ASM104737v1,NO
GCF_001484725.1_ASM148472v1,NO
GCF_001558935.2_ASM155893v2,NO
GCF_001563495.1_ASM156349v1,NO
GCF_001593985.1_ASM159398v1,NO
GCF_001648155.1_ASM164815v1,NO
GCF_001684975.1_ASM168497v1,NO
GCF_001701045.1_ASM170104v1,NO
GCF_001758365.1_ASM175836v1,NO
GCF_001886875.1_ASM188687v1,NO
GCF_001991075.2_ASM199107v2,NO
GCF_002074155.1_ASM207415v1,NO
GCF_002177115.1_ASM217711v1,YES
GCF_002285635.2_ASM228563v2,YES
GCF_002327205.1_ASM232720v1,NO
GCF_002749945.1_ASM274994v1,NO
GCF_002770595.1_ASM277059v1,NO
GCF_002797535.1_ASM279753v1,YES
GCF_002798305.1_ASM279830v1,NO
GCF_002899825.2_ASM289982v2,YES
GCF_003020585.1_ASM302058v1,NO
GCF_003336205.1_ASM333620v1,NO
GCF_003337715.1_ASM333771v1,YES
GCF_003384725.1_ASM338472v1,NO
GCF_003385415.1_ASM338541v1,YES
GCF_003385495.1_ASM338549v1,YES
GCF_003385515.1_ASM338551v1,NO
GCF_003385595.1_ASM338559v1,YES
GCF_003386075.1_ASM338607v1,NO
GCF_003429605.1_ASM342960v1,NO
GCF_003575225.1_ASM357522v1,NO
GCF_003589925.1_ASM358992v1,YES
GCF_003634775.1_ASM363477v1,YES
GCF_003710065.1_ASM371006v1,NO
GCF_003729955.1_ASM372995v1,NO
