Assembly Accession	Assembly Name	Assembly Level	Organism Name	CheckM completeness	Assembly Stats Total Sequence Length
GCF_002286935.1	ASM228693v1	Contig	Bifidobacterium criceti	99.18	2155882
GCF_000738005.1	ASM73800v1	Contig	Bifidobacterium crudilactis	95.93	2362816
GCF_000741575.1	Bifcun	Contig	Bifidobacterium cuniculi	98.66	2531592
GCF_000172135.1	ASM17213v1	Contig	Bifidobacterium dentium ATCC 27678	97.89	2642081
GCF_003951975.1	ASM395197v1	Contig	Bifidobacterium dolichotidis	96.53	1921709
GCF_014898155.1	ASM1489815v1	Complete Genome	Bifidobacterium eulemuris	96.16	2920839
GCF_002802915.1	ASM280291v1	Scaffold	Bifidobacterium felsineum	99.34	2384744
GCF_000741205.1	Bifgalcum	Contig	Bifidobacterium gallicum DSM 20093 = LMG 11596	97.41	2004594
GCF_003951095.1	ASM395109v1	Contig	Bifidobacterium goeldii	98.8	2607372
GCF_002259755.1	ASM225975v1	Contig	Bifidobacterium hapali	98.56	2834308
GCF_017357045.1	ASM1735704v1	Chromosome	Bifidobacterium imperatoris	98.28	2696962
GCF_000706765.1	ASM70676v1	Complete Genome	Bifidobacterium indicum LMG 11587 = DSM 20214	94.5	1734546
GCF_002286915.1	ASM228691v1	Contig	Bifidobacterium italicum	98.4	2276351
GCF_009078285.1	ASM907828v1	Scaffold	Bifidobacterium jacchi	97.71	2876974
GCF_014898175.1	ASM1489817v1	Complete Genome	Bifidobacterium lemurum	95.65	2965103
GCF_009193355.1	ASM919335v1	Contig	Bifidobacterium leontopitheci	98.93	3030672
GCF_000196555.1	ASM19655v1	Complete Genome	Bifidobacterium longum subsp. longum JCM 1217	99.31	2385164
GCF_000420565.1	ASM42056v1	Contig	Bifidobacterium magnum DSM 20222	96.17	1825255
GCF_002860355.1	ASM286035v1	Contig	Bifidobacterium margollesii	98.07	2789387
GCF_000967265.1	ASM96726v1	Scaffold	Bifidobacterium mellis	96.09	2132390
GCF_900129045.1	IMG-taxon 2563366502 annotated assembly	Contig	Bifidobacterium merycicum DSM 6492	97.72	2274683
GCF_019331735.1	ASM1933173v1	Contig	Bifidobacterium miconis	99.59	3176767
GCF_019331675.1	ASM1933167v1	Contig	Bifidobacterium miconisargentati	97.69	2983671
GCF_000421685.1	ASM42168v1	Contig	Bifidobacterium minimum DSM 20102	96.3	1867315
GCF_020884755.1	ASM2088475v1	Contig	Bifidobacterium mizhiense	97.24	2089497
GCF_003788965.1	ASM378896v1	Contig	Bifidobacterium mongoliense	95.07	2132511
GCF_005405725.1	ASM540572v1	Contig	Bifidobacterium moukalabense	100	2548130
GCF_002259745.1	ASM225974v1	Contig	Bifidobacterium myosotis	96.96	2944195
GCF_002860365.1	ASM286036v1	Contig	Bifidobacterium parmae	98.37	2820211
GCF_019331775.1	ASM1933177v1	Contig	Bifidobacterium phasiani	95.91	2712769
GCF_010667645.1	ASM1066764v1	Scaffold	Bifidobacterium platyrrhinorum	97.92	2615073
GCF_019331695.1	ASM1933169v1	Contig	Bifidobacterium pluvialisilvae	98.45	2655377
GCF_007559155.1	ASM755915v1	Contig	Bifidobacterium polysaccharolyticum	96.89	2241614
GCF_019331805.1	ASM1933180v1	Scaffold	Bifidobacterium pongonis	97.33	2476206
GCF_000771045.1	DSM-17755	Contig	Bifidobacterium porcinum DSM 17755	100	2062568
GCF_002802875.1	Spades_TRE1	Scaffold	Bifidobacterium primatium	98.62	2696768
GCF_020541885.1	ASM2054188v1	Complete Genome	Bifidobacterium pseudocatenulatum	99.51	2245999
GCF_002282915.1	ASM228291v1	Complete Genome	Bifidobacterium pseudolongum	94.78	2008102
GCF_002813205.1	ASM281320v1	Contig	Bifidobacterium psychraerophilum DSM 22366	98.33	2631485
GCF_014634885.1	ASM1463488v1	Contig	Bifidobacterium pullorum	97.53	2104207
GCF_009299505.1	ASM929950v1	Contig	Bifidobacterium ramosum	99.66	3028921
GCF_000771685.1	DSM-23975	Contig	Bifidobacterium reuteri DSM 23975	98.52	2836004
GCF_008698235.1	ASM869823v1	Scaffold	Bifidobacterium rousetti	97.96	3053756
GCF_019042115.1	ASM1904211v1	Contig	Bifidobacterium ruminantium	96.51	2179291
GCF_017378515.1	ASM1737851v1	Chromosome	Bifidobacterium saguini	97.92	2739637
GCF_019331725.1	ASM1933172v1	Contig	Bifidobacterium saguinibicoloris	97.98	2680709
GCF_010667655.1	ASM1066765v1	Scaffold	Bifidobacterium saimiriisciurei	98.09	2762496
GCF_003952945.1	ASM395294v1	Contig	Bifidobacterium samirii	96.43	2574625
GCF_018555385.1	ASM1855538v1	Contig	Bifidobacterium santillanense	98.16	2771886
GCF_002802865.1	ASM280286v1	Scaffold	Bifidobacterium scaligerum	98.26	2652159
GCF_001042635.1	ASM104263v1	Complete Genome	Bifidobacterium scardovii JCM 12489 = DSM 13734	98.53	3158347
GCF_002802905.1	ASM280290v1	Contig	Bifidobacterium simiarum	98.77	2721281
GCF_019331715.1	ASM1933171v1	Contig	Bifidobacterium simiiventris	99.58	2878004
GCF_000741785.1	Bifste	Contig	Bifidobacterium stellenboschense	97.13	2812864
GCF_014898195.1	ASM1489819v1	Complete Genome	Bifidobacterium subtile	97.28	2822354
GCF_000426425.1	ASM42642v1	Contig	Bifidobacterium thermacidophilum subsp. thermacidophilum DSM 15837	99.88	2223595
GCF_002846655.1	ASM284665v1	Contig	Bifidobacterium thermophilum	99.88	2316133
GCF_009371875.1	ASM937187v1	Contig	Bifidobacterium tibiigranuli	97.18	2738945
GCF_002259645.1	ASM225964v1	Contig	Bifidobacterium tissieri	97.58	2873483
GCF_000771065.1	DSM-17777	Contig	Bifidobacterium tsurumiense DSM 17777	98.04	2157688
GCF_002234915.1	BbifTam10Bv1	Contig	Bifidobacterium vansinderenii	98.3	3111005
GCF_008698145.1	ASM869814v1	Scaffold	Bifidobacterium vespertilionis	97.8	3075992
GCF_003315615.1	ASM331561v1	Contig	Bifidobacterium xylocopae	86.36	1848461
GCF_009696005.1	ASM969600v1	Contig	Bilifractor porci	97.64	2709224
GCF_000185705.2	Bilo_wads_3_1_6_V2	Scaffold	Bilophila wadsworthia 3_1_6	98.84	4391194
GCF_003691585.1	ASM369158v1	Chromosome	Biomaibacter acetigenes	94.55	3398411
GCF_004343195.1	ASM434319v1	Contig	Biostraticola tofi	99.79	4290872
GCF_013377195.1	ASM1337719v1	Complete Genome	Bisgaardia hudsonensis	98.9	2125638
GCF_008086165.1	ASM808616v1	Contig	Bizionia algoritergicola	99.68	3536492
GCF_014638915.1	ASM1463891v1	Contig	Bizionia arctica	99.68	3908203
GCF_900115185.1	IMG-taxon 2622736504 annotated assembly	Scaffold	Bizionia echini	99.68	3314721
GCF_008086185.1	ASM808618v1	Contig	Bizionia gelidisalsuginis	100	3386983
GCF_008086205.1	ASM808620v1	Contig	Bizionia myxarmorum	99.68	3364265
GCF_900107625.1	IMG-taxon 2622736593 annotated assembly	Scaffold	Bizionia paragorgiae	99.68	3143625
GCF_001039595.1	ASM103959v1	Contig	Bizionia psychrotolerans	11.98	500897
GCF_008086175.1	ASM808617v1	Contig	Bizionia saleffrena	100	3285275
GCF_008630065.1	ASM863006v1	Contig	Blastochloris sulfoviridis	98.69	3845334
GCF_003966715.1	ASM396671v1	Complete Genome	Blastochloris tepida	98.69	3949390
GCF_001402875.1	ASM140287v1	Complete Genome	Blastochloris viridis	98.69	3724841
GCF_900221005.1	IMG-taxon 2734482074 annotated assembly	Contig	Blastococcus aggregatus	86.75	4620309
GCF_002938425.1	ASM293842v1	Contig	Blastococcus atacamensis	88.64	3893821
GCF_900102425.1	IMG-taxon 2599185358 annotated assembly	Contig	Blastococcus aurantiacus	86.58	4163046
GCF_030165005.1	ASM3016500v1	Contig	Blastococcus capsensis	91.08	4392919
GCF_006717095.1	ASM671709v1	Contig	Blastococcus colisei	93.11	5160276
GCF_900230285.1	IMG-taxon 2728369258 annotated assembly	Contig	Blastococcus haudaquaticus	91.61	4512672
GCF_003075095.1	ASM307509v1	Scaffold	Blastococcus litoris	91.68	4631862
GCF_900188025.1	IMG-taxon 2724679778 annotated assembly	Contig	Blastococcus mobilis	92.75	5094633
GCF_004217455.1	ASM421745v1	Contig	Blastococcus saxobsidens	90.57	4533155
GCF_008124835.1	ASM812483v1	Contig	Blastococcus xanthinilyticus	91.77	4606804
GCF_014639875.1	ASM1463987v1	Contig	Blastomonas aquatica	100	3712001
GCF_003431825.1	ASM343182v1	Complete Genome	Blastomonas fulva	99.18	4123210
GCF_014641655.1	ASM1464165v1	Scaffold	Blastomonas marina	98.96	2634902
GCF_003201955.1	ASM320195v1	Scaffold	Blastomonas natatoria	99.52	4045865
GCF_000153105.1	ASM15310v1	Scaffold	Blastopirellula marina DSM 3645	98.83	6663851
GCF_007859755.1	ASM785975v1	Scaffold	Blastopirellula retiformator	99.02	6196617
GCF_020966695.1	ASM2096669v1	Scaffold	Blastopirellula sediminis	99.02	7050677
GCF_003268615.1	ASM326861v1	Complete Genome	Blattabacterium clevelandi	98.53	620771
GCF_014251295.1	ASM1425129v1	Chromosome	Blattabacterium cuenoti	98.98	637404
GCF_003226695.1	ASM322669v1	Complete Genome	Blattabacterium punctulatus	98.73	615935
GCF_025566865.1	ASM2556686v1	Scaffold	Blautia acetigignens	95.61	4023593
GCF_025566965.1	ASM2556696v1	Scaffold	Blautia ammoniilytica	92.81	3891993
GCF_003287895.1	ASM328789v1	Complete Genome	Blautia argi	87.39	3297975
GCF_024622975.1	ASM2462297v1	Contig	Blautia caecimuris	96.67	4093107
GCF_014287615.1	ASM1428761v1	Contig	Blautia celeris	97.96	6189697
GCF_900461125.1	49699_D02	Contig	Blautia coccoides	99.06	6115043
GCF_014297245.1	ASM1429724v1	Contig	Blautia difficilis	98.34	3618389
GCF_004123145.1	ASM412314v1	Contig	Blautia faecicola	93.91	3738517
GCF_020554845.1	ASM2055484v1	Contig	Blautia faecis	95.31	4104676
GCF_013300845.1	ASM1330084v1	Contig	Blautia glucerasea	95.02	4398197
GCF_002222595.2	ASM222259v2	Complete Genome	Blautia hansenii DSM 20583	90.3	3065949
GCF_002270465.1	ASM227046v1	Contig	Blautia hominis	96.31	5878941
GCF_001404935.1	13414_6#41	Scaffold	Blautia hydrogenotrophica	99.61	3531725
GCF_014297355.1	ASM1429735v1	Contig	Blautia intestinalis	97.53	3481912
GCF_015159595.1	ASM1515959v1	Complete Genome	Blautia liquoris	87.9	3518434
GCF_015669135.1	ASM1566913v1	Scaffold	Blautia luti	99	3736625
GCF_900258535.1	PRJEB24722	Contig	Blautia marasmi	98.37	6170525
GCF_025147765.1	ASM2514776v1	Complete Genome	Blautia obeum ATCC 29174	97.34	3649956
GCF_010669205.1	ASM1066920v1	Complete Genome	Blautia producta ATCC 27340 = DSM 2950	96.86	6197116
GCF_001689125.2	ASM168912v2	Complete Genome	Blautia pseudococcoides	97.89	5128746
GCF_013304825.1	ASM1330482v1	Contig	Blautia schinkii	99.23	3494515
GCF_014287535.1	ASM1428753v1	Contig	Blautia segnis	93.38	3877012
GCF_014385405.1	ASM1438540v1	Contig	Blautia stercoris	94.52	3425373
GCF_025148125.1	ASM2514812v1	Complete Genome	Blautia wexlerae DSM 19850	98.91	4685728
GCF_000973545.1	ASM97354v1	Complete Genome	Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus	91.36	773940
GCF_023585785.1	ASM2358578v1	Complete Genome	Blochmannia endosymbiont of Camponotus modoc	98.34	790674
GCF_009827135.1	ASM982713v1	Complete Genome	Blochmannia endosymbiont of Camponotus nipponensis	97.08	788522
GCF_014857065.1	ASM1485706v1	Complete Genome	Blochmannia endosymbiont of Colobopsis nipponica	91.93	728116
GCF_000973505.1	ASM97350v1	Complete Genome	Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri	93.24	749321
GCF_003752405.1	ASM375240v1	Contig	Bogoriella caseilytica	100	3235396
GCF_025289935.1	ASM2528993v1	Scaffold	Bombella apis	98.33	1917721
GCF_026385505.1	ASM2638550v1	Contig	Bombella dulcis	97.95	1869109
GCF_014048475.1	ASM1404847v1	Contig	Bombella favorum	98.33	1975894
GCF_002003665.1	ASM200366v1	Contig	Bombella intestini	97.95	2023176
GCF_014048465.1	ASM1404846v1	Contig	Bombella mellum	97.95	2070045
GCF_026385525.1	ASM2638552v1	Contig	Bombella pluederhausensis	98.67	2010351
GCF_026385485.1	ASM2638548v1	Contig	Bombella pollinis	98.9	1883109
GCF_026385475.1	ASM2638547v1	Contig	Bombella saccharophila	98.52	1911546
GCF_013385145.1	ASM1338514v1	Scaffold	Bombilactobacillus apium	98.62	1712546
GCF_003522965.1	ASM352296v1	Complete Genome	Bombilactobacillus bombi	98.89	1842084
GCF_023380265.1	ASM2338026v1	Complete Genome	Bombilactobacillus folatiphilus	96.84	1637944
GCF_000970795.1	ASM97079v1	Scaffold	Bombilactobacillus mellifer	98.4	1815047
GCF_000967245.1	ASM96724v1	Scaffold	Bombilactobacillus mellis	98.89	1810599
GCF_023380245.1	ASM2338024v1	Complete Genome	Bombilactobacillus thymidiniphilus	98.51	1494436
GCF_002259585.1	ASM225958v1	Contig	Bombiscardovia coagulans	91.3	1741326
GCF_900078705.1	H050680373	Contig	Bordetella ansorpii	98.32	6205182
GCF_000070465.1	ASM7046v1	Complete Genome	Bordetella avium 197N	99.92	3732255
GCF_001676745.1	ASM167674v1	Complete Genome	Bordetella bronchialis	97.32	5966919
GCF_900636925.1	45137_F01	Complete Genome	Bordetella bronchiseptica	99.92	5199761
GCF_001676725.1	ASM167672v1	Complete Genome	Bordetella flabilis	95.51	5954318
GCF_006770325.1	ASM677032v1	Complete Genome	Bordetella hinzii	99.55	4809490
GCF_009627355.1	ASM962735v1	Complete Genome	Bordetella holmesii	97.39	3696575
GCF_004008295.1	ASM400829v1	Complete Genome	Bordetella parapertussis	98.78	4773835
GCF_004008975.1	ASM400897v1	Complete Genome	Bordetella pertussis	97.06	4088701
GCF_000067205.1	ASM6720v1	Complete Genome	Bordetella petrii	99.54	5287950
GCF_001698185.1	ASM169818v1	Complete Genome	Bordetella pseudohinzii	99.51	4558891
GCF_900445945.1	52067_A01	Contig	Bordetella trematum	98.2	4498245
GCF_001936255.1	ASM193625v1	Complete Genome	Borrelia anserina Es	98.07	1042690
GCF_023035295.1	ASM2303529v1	Complete Genome	Borrelia coriaceae	98.74	1787333
GCF_000825665.2	Borrelia crocidurae str. 03-02	Scaffold	Borrelia crocidurae	92.58	920157
GCF_000523535.1	BOR_261	Contig	Borrelia duttonii CR2A	67.12	1640950
GCF_020422925.2	ASM2042292v2	Complete Genome	Borrelia hermsii	99.78	1161689
GCF_000500065.1	AB2	Contig	Borrelia hispanica CRI	99.68	1783846
GCF_008931845.1	ASM893184v1	Complete Genome	Borrelia maritima	100	1109596
GCF_019668505.1	ASM1966850v1	Complete Genome	Borrelia miyamotoi	98.53	906165
GCF_000500045.1	AB6.5.1	Contig	Borrelia persica No12	97.79	1784977
GCF_023035875.1	ASM2303587v1	Complete Genome	Borrelia puertoricensis	99.83	1868579
GCF_000019705.1	ASM1970v1	Complete Genome	Borrelia recurrentis A1	99.68	1242163
GCF_003606285.1	ASM360628v1	Complete Genome	Borrelia turcica IST7	99.76	1283624
GCF_000012085.2	ASM1208v2	Complete Genome	Borrelia turicatae 91E135	99.65	1165365
GCF_026571835.1	ASM2657183v1	Complete Genome	Borreliella afzelii	99.1	906136
GCF_030445085.1	ASM3044508v1	Complete Genome	Borreliella americana	99.21	1003506
GCF_000196215.1	ASM19621v1	Complete Genome	Borreliella bavariensis PBi	98.43	986914
GCF_030439775.1	ASM3043977v1	Complete Genome	Borreliella bissettiae	100	1012412
GCF_000181575.2	ASM18157v2	Scaffold	Borreliella burgdorferi Bol26	98.39	1321434
GCF_030438475.1	ASM3043847v1	Complete Genome	Borreliella californiensis	98.82	1003056
GCF_030440315.1	ASM3044031v1	Complete Genome	Borreliella carolinensis		958256
GCF_030438365.1	ASM3043836v1	Complete Genome	Borreliella finlandensis	100	1002970
GCF_026572315.1	ASM2657231v1	Complete Genome	Borreliella garinii	99.47	905692
GCF_030438115.1	ASM3043811v1	Complete Genome	Borreliella japonica	99.21	1017684
GCF_030437945.1	ASM3043794v1	Complete Genome	Borreliella kurtenbachii	100	1015378
GCF_030437705.1	ASM3043770v1	Complete Genome	Borreliella lanei	100	1007738
GCF_030440365.1	ASM3044036v1	Complete Genome	Borreliella lusitaniae	100	1025544
GCF_001936295.1	ASM193629v1	Complete Genome	Borreliella mayonii	98.95	1302058
GCF_030436445.1	ASM3043644v1	Complete Genome	Borreliella spielmanii	100	1010126
GCF_030439705.1	ASM3043970v1	Complete Genome	Borreliella tanukii	98.95	1012946
GCF_030439285.1	ASM3043928v1	Complete Genome	Borreliella turdi	100	1009219
GCF_000170955.2	ASM17095v2	Complete Genome	Borreliella valaisiana VS116	97.64	1258864
GCF_030436185.1	ASM3043618v1	Complete Genome	Borreliella yangtzensis	99.21	1008882
GCF_003351345.1	ASM335134v1	Contig	Bosea caraganae	100	6173500
GCF_900108245.1	IMG-taxon 2622736433 annotated assembly	Scaffold	Bosea lathyri	100	5918613
GCF_900109525.1	IMG-taxon 2634166302 annotated assembly	Contig	Bosea lupini	99.95	6128076
GCF_025209975.1	ASM2520997v1	Contig	Bosea minatitlanensis	99.39	4715150
GCF_002917105.1	ASM291710v1	Scaffold	Bosea psychrotolerans	100	6392805
GCF_900102525.1	IMG-taxon 2675903146 annotated assembly	Contig	Bosea robiniae	99.39	5279103
GCF_014764685.1	ASM1476468v1	Contig	Bosea spartocytisi	100	5926429
GCF_900168195.1	IMG-taxon 2595698224 annotated assembly	Contig	Bosea thiooxidans	99.59	5369373
GCF_001741865.1	ASM174186v1	Complete Genome	Bosea vaviloviae	99.8	6713548
GCF_030144325.1	ASM3014432v1	Complete Genome	Bosea vestrisii	95.48	6306553
GCF_900184815.1	B.aestuarii_CECT8489_Spades_Prokka	Contig	Boseongicola aestuarii	98.83	4001270
GCF_007859955.1	ASM785995v1	Scaffold	Botrimarina colliarenosi	96.96	5265585
GCF_007859815.1	ASM785981v1	Scaffold	Botrimarina hoheduenensis	97.75	4325069
GCF_007753265.1	ASM775326v1	Chromosome	Botrimarina mediterranea	96.96	5871207
GCF_003347595.2	ASM334759v2	Contig	Botryobacter ruber	99.7	5844370
GCF_001907275.1	ASM190727v1	Contig	Boudabousia liubingyangii	97.27	1987067
GCF_001936115.1	ASM193611v1	Scaffold	Boudabousia marimammalium	97.77	1842889
GCF_001856685.1	ASM185668v1	Complete Genome	Boudabousia tangfeifanii	98.46	2207832
GCF_025567085.1	ASM2556708v1	Scaffold	Bovifimicola ammoniilytica	99.12	3027291
GCF_023634005.1	ASM2363400v1	Scaffold	Bowdeniella massiliensis	82.81	2623554
GCF_001907295.1	ASM190729v1	Scaffold	Bowdeniella nasicola	97.82	2638573
GCF_002887595.1	ASM288759v1	Scaffold	Bowmanella denitrificans	99.93	5479914
GCF_017254865.1	ASM1725486v1	Scaffold	Bowmanella dokdonensis	100	4859530
GCF_014645355.1	ASM1464535v1	Contig	Bowmanella pacifica	99.66	4540125
GCF_018531185.1	ASM1853118v1	Scaffold	Bowmanella yangjiangensis	100	4854055
GCF_002332425.1	ASM233242v1	Scaffold	Brachybacterium alimentarium	93.6	3982721
GCF_014204755.1	ASM1420475v1	Contig	Brachybacterium aquaticum	93.78	3449336
GCF_002216795.1	ASM221679v1	Complete Genome	Brachybacterium avium	89.72	3568502
GCF_027925285.1	ASM2792528v1	Contig	Brachybacterium conglomeratum	97.23	3807041
GCF_003130585.1	ASM313058v1	Contig	Brachybacterium endophyticum	85.96	3553347
GCF_015209585.1	ASM1520958v1	Scaffold	Brachybacterium epidermidis	81.95	3073790
GCF_000023405.1	ASM2340v1	Complete Genome	Brachybacterium faecium DSM 4810	99.27	3614992
GCF_017876515.1	ASM1787651v1	Contig	Brachybacterium fresconis	84.39	4628988
GCF_002407065.1	ASM240706v1	Complete Genome	Brachybacterium ginsengisoli	95.13	3953253
GCF_020792675.1	ASM2079267v1	Complete Genome	Brachybacterium halotolerans subsp. kimchii	90.02	4101974
GCF_025725725.1	ASM2572572v1	Complete Genome	Brachybacterium huguangmaarense	87.3	3256418
GCF_023373525.1	ASM2337352v1	Complete Genome	Brachybacterium kimchii	89.32	4348474
GCF_900184245.1	PRJEB13137	Contig	Brachybacterium massiliense	93.33	3865488
GCF_000338055.1	Brachybacterium muris str. UCD-AY4	Scaffold	Brachybacterium muris UCD-AY4	93.28	3257466
GCF_900163655.1	ASM90016365v1	Contig	Brachybacterium nesterenkovii	88.39	3021972
GCF_003994255.1	ASM399425v1	Scaffold	Brachybacterium paraconglomeratum	97.01	3783832
GCF_000576425.1	Braphev1	Scaffold	Brachybacterium phenoliresistens	93.88	4188165
GCF_017876545.1	ASM1787654v1	Contig	Brachybacterium sacelli	85.61	4869106
GCF_003355475.1	ASM335547v1	Complete Genome	Brachybacterium saurashtrense	95	3720646
GCF_025028335.1	ASM2502833v1	Contig	Brachybacterium sillae	83.21	2668991
GCF_009299795.1	ASM929979v1	Contig	Brachybacterium subflavum	89.88	3992287
GCF_900258505.1	PRJEB23296	Scaffold	Brachybacterium timonense	87.74	3092588
GCF_014897585.1	ASM1489758v1	Contig	Brachybacterium tyrofermentans	95.9	4609434
GCF_002407185.1	ASM240718v1	Complete Genome	Brachybacterium vulturis	94.22	3796663
GCF_000374625.1	ASM37462v1	Scaffold	Brachymonas chironomi DSM 19884	97.17	2503561
GCF_900110225.1	IMG-taxon 2599185145 annotated assembly	Scaffold	Brachymonas denitrificans DSM 15123	96.58	2712870
GCF_008016755.1	ASM801675v1	Scaffold	Brachyspira aalborgi	91.23	2609344
GCF_000518245.1	ASM51824v1	Scaffold	Brachyspira alvinipulli ATCC 51933	98.94	3420763
GCF_005518285.1	ASM551828v1	Contig	Brachyspira catarrhinii	84.39	2695388
GCF_000316195.1	ASM31619v1	Scaffold	Brachyspira hampsonii 30446	98.47	3037350
GCF_017751225.1	ASM1775122v1	Complete Genome	Brachyspira hyodysenteriae	96.78	3085162
GCF_000384655.1	ASM38465v1	Contig	Brachyspira innocens ATCC 29796	98.94	3281611
GCF_000223215.1	ASM22321v1	Complete Genome	Brachyspira intermedia PWS/A	97.99	3308048
GCF_000092845.1	ASM9284v1	Complete Genome	Brachyspira murdochii DSM 12563	99.27	3241804
GCF_000143725.1	ASM14372v1	Complete Genome	Brachyspira pilosicoli 95/1000	98.46	2586443
GCF_001049755.1	BRSU_AN4859/03	Contig	Brachyspira suanatina	98.79	3258009
GCF_000621025.1	ASM62102v1	Scaffold	Brackiella oedipodis DSM 13743	100	1922095
GCF_003258315.1	ASM325831v1	Complete Genome	Bradymonas sediminis	93.33	5045683
GCF_020889785.1	ASM2088978v1	Contig	Bradyrhizobium acaciae	95.67	8471967
GCF_013178945.1	ASM1317894v1	Contig	Bradyrhizobium aeschynomenes	99.54	7522254
GCF_016031625.1	ASM1603162v1	Contig	Bradyrhizobium agreste	99.71	7877331
GCF_003062295.1	ASM306229v1	Scaffold	Bradyrhizobium algeriense	99.55	8907982
GCF_020889705.1	ASM2088970v1	Contig	Bradyrhizobium altum	96.29	9758985
GCF_002266435.2	ASM226643v2	Complete Genome	Bradyrhizobium amphicarpaeae		7044517
GCF_015291705.1	ASM1529170v1	Complete Genome	Bradyrhizobium arachidis	100	9865973
GCF_013114835.1	ASM1311483v1	Contig	Bradyrhizobium archetypum	99.78	7017218
GCF_013114825.1	ASM1311482v1	Contig	Bradyrhizobium australiense	99.69	7436256
GCF_011068405.5	ASM1106840v5	Complete Genome	Bradyrhizobium barranii subsp. barranii	99.52	11474152
GCF_008932115.1	ASM893211v1	Complete Genome	Bradyrhizobium betae	99.07	7419402
GCF_029714345.1	ASM2971434v1	Complete Genome	Bradyrhizobium brasilense	99.65	8976199
GCF_009759665.1	ASM975966v1	Contig	Bradyrhizobium cajani	97.33	8381257
GCF_014530645.1	ASM1453064v1	Scaffold	Bradyrhizobium campsiandrae	98.97	8871850
GCF_019402665.1	ASM1940266v1	Scaffold	Bradyrhizobium canariense	99.1	8561472
GCF_020329485.1	ASM2032948v1	Contig	Bradyrhizobium cenepequi	99.73	8472857
GCF_001641635.1	ASM164163v1	Scaffold	Bradyrhizobium centrolobii	99.45	10111113
GCF_024809475.1	ASM2480947v1	Scaffold	Bradyrhizobium centrosematis	99.92	8006841
GCF_015624505.1	ASM1562450v1	Complete Genome	Bradyrhizobium commune	99.41	7622528
GCF_000284275.1	ASM28427v1	Complete Genome	Bradyrhizobium cosmicum	99.96	7231841
GCF_008123515.1	ASM812351v1	Contig	Bradyrhizobium cytisi	99.9	8854489
GCF_021044685.1	ASM2104468v1	Complete Genome	Bradyrhizobium daqingense	99.36	7998085
GCF_018129525.1	ASM1812952v1	Contig	Bradyrhizobium denitrificans	99.69	8495489
GCF_004359355.1	ASM435935v1	Complete Genome	Bradyrhizobium diazoefficiens	99.99	8910608
GCF_016031635.1	ASM1603163v1	Contig	Bradyrhizobium diversitatis	99.7	8450368
GCF_012871055.1	ASM1287105v1	Complete Genome	Bradyrhizobium elkanii USDA 61	97.55	9649995
GCF_001189235.2	ASM118923v2	Contig	Bradyrhizobium embrapense	99.96	8267832
GCF_900142985.1	IMG-taxon 2695420919 annotated assembly	Chromosome	Bradyrhizobium erythrophlei	96.26	7525217
GCF_002795245.1	ASM279524v1	Scaffold	Bradyrhizobium forestalis	99.91	8252029
GCF_004570865.1	ASM457086v1	Contig	Bradyrhizobium frederickii	99.41	8294086
GCF_016031655.1	ASM1603165v1	Contig	Bradyrhizobium glycinis	99.69	7794411
GCF_004114975.1	ASM411497v1	Complete Genome	Bradyrhizobium guangdongense	99.26	8437991
GCF_004114915.1	ASM411491v1	Complete Genome	Bradyrhizobium guangxiense	99.16	8200121
GCF_004114955.1	ASM411495v1	Complete Genome	Bradyrhizobium guangzhouense	99.17	8138177
GCF_020329435.1	ASM2032943v1	Contig	Bradyrhizobium hereditatis	99.7	7871253
GCF_008123965.1	ASM812396v1	Scaffold	Bradyrhizobium hipponense	98.91	8826946
GCF_007830635.1	ASM783063v1	Scaffold	Bradyrhizobium huanghuaihaiense	99.6	9226856
GCF_001693385.1	ASM169338v1	Complete Genome	Bradyrhizobium icense	99.38	8322773
GCF_030160715.1	ASM3016071v1	Contig	Bradyrhizobium iriomotense	99.61	9789577
GCF_013752735.1	ASM1375273v1	Complete Genome	Bradyrhizobium japonicum	99.47	9226248
GCF_001440395.1	ASM144039v1	Scaffold	Bradyrhizobium jicamae	99.66	8738846
GCF_001440475.1	ASM144047v1	Scaffold	Bradyrhizobium lablabi	97.05	8817291
GCF_000261645.1	05525	Contig	Bradyrhizobium liaoningense CCBAU 05525	98.02	8164124
GCF_001542415.1	ASM154241v1	Scaffold	Bradyrhizobium macuxiense	97.92	8722143
GCF_001440035.1	ABySSBR3351v1	Scaffold	Bradyrhizobium manausense	96.51	9145311
GCF_001982635.1	ASM198263v1	Contig	Bradyrhizobium mercantei	99.67	8842857
GCF_000472965.1	ASM47296v1	Scaffold	Bradyrhizobium murdochi	99.7	7952346
GCF_004114535.1	ASM411453v1	Scaffold	Bradyrhizobium nanningense	99.89	8290088
GCF_001641695.1	ASM164169v1	Scaffold	Bradyrhizobium neotropicale	98.72	8679329
GCF_004571025.1	ASM457102v1	Contig	Bradyrhizobium niftali	99.41	9787683
GCF_002776695.1	ASM277669v1	Scaffold	Bradyrhizobium nitroreducens	100	8199267
GCF_000344805.1	ASM34480v1	Complete Genome	Bradyrhizobium oligotrophicum S58	98.76	8264165
GCF_020889685.1	ASM2088968v1	Contig	Bradyrhizobium oropedii	96.51	9043029
GCF_009176665.1	ASM917666v1	Complete Genome	Bradyrhizobium ottawaense	99.37	8442078
